t_seconds,rms_linear,peak_abs,clip_flag
0.046440,48.819435,137.0,0
0.092880,40.295151,102.0,0
0.139320,34.336895,113.0,0
0.185760,37.124008,104.0,0
0.232200,46.782639,121.0,0
0.278639,41.553219,94.0,0
0.325079,29.699776,101.0,0
0.371519,31.685459,87.0,0
0.417959,31.689056,93.0,0
0.464399,37.805946,128.0,0
0.510839,49.406612,154.0,0
0.557279,43.447983,116.0,0
0.603719,41.565800,108.0,0
0.650159,40.805679,132.0,0
0.696599,42.369652,104.0,0
0.743039,49.741146,138.0,0
0.789478,43.799625,123.0,0
0.835918,52.416218,131.0,0
0.882358,44.657722,118.0,0
0.928798,49.548218,140.0,0
0.975238,42.591984,118.0,0
1.021678,44.254528,101.0,0
1.068118,39.754841,139.0,0
1.114558,38.294327,92.0,0
1.160998,51.519505,174.0,0
1.207438,43.204079,121.0,0
1.253878,42.627773,109.0,0
1.300317,38.201660,100.0,0
1.346757,60.266930,160.0,0
1.393197,48.770615,150.0,0
1.439637,59.126072,187.0,0
1.486077,69.116722,184.0,0
1.532517,58.798290,143.0,0
1.578957,76.538864,190.0,0
1.625397,54.529564,131.0,0
1.671837,40.908356,109.0,0
1.718277,60.370201,163.0,0
1.764717,41.141193,124.0,0
1.811156,53.531834,158.0,0
1.857596,66.680588,191.0,0
1.904036,55.924133,124.0,0
1.950476,57.107029,145.0,0
1.996916,86.201675,227.0,0
2.043356,83.761559,250.0,0
2.089796,57.895889,153.0,0
2.136236,74.853828,214.0,0
2.182676,76.074913,234.0,0
2.229116,71.440453,214.0,0
2.275556,51.503880,152.0,0
2.321995,48.836903,144.0,0
2.368435,64.323959,220.0,0
2.414875,64.836708,201.0,0
2.461315,66.054199,174.0,0
2.507755,67.925529,202.0,0
2.554195,77.053917,204.0,0
2.600635,313.908386,1325.0,0
2.647075,1602.113647,4955.0,0
2.693515,1574.903442,4558.0,0
2.739955,1323.588745,3819.0,0
2.786395,695.082092,2097.0,0
2.832834,284.104004,838.0,0
2.879274,199.930634,689.0,0
2.925714,114.620880,366.0,0
2.972154,89.558952,326.0,0
3.018594,91.777092,297.0,0
3.065034,90.146942,332.0,0
3.111474,84.953911,239.0,0
3.157914,85.215462,243.0,0
3.204354,79.916992,257.0,0
3.250794,75.055931,270.0,0
3.297234,82.048485,241.0,0
3.343673,66.843094,204.0,0
3.390113,75.490334,195.0,0
3.436553,73.876534,198.0,0
3.482993,68.612831,169.0,0
3.529433,76.178886,214.0,0
3.575873,45.990376,155.0,0
3.622313,47.264538,143.0,0
3.668753,47.993710,142.0,0
3.715193,53.111645,157.0,0
3.761633,64.003387,215.0,0
3.808073,85.423370,213.0,0
3.854512,74.966568,224.0,0
3.900952,94.310684,253.0,0
3.947392,100.380005,240.0,0
3.993832,92.416794,191.0,0
4.040272,108.979568,270.0,0
4.086712,91.180267,228.0,0
4.133152,72.224976,199.0,0
4.179592,69.566704,202.0,0
4.226032,73.381012,195.0,0
4.272472,84.283897,241.0,0
4.318912,94.627319,268.0,0
4.365351,104.213104,238.0,0
4.411791,127.266129,284.0,0
4.458231,118.516373,312.0,0
4.504671,135.632507,324.0,0
4.551111,118.340477,258.0,0
4.597551,128.819077,282.0,0
4.643991,109.237755,269.0,0
4.690431,88.264816,233.0,0
4.736871,76.412010,227.0,0
4.783311,78.766228,244.0,0
4.829751,72.048073,228.0,0
4.876190,84.343086,213.0,0
4.922630,106.995010,246.0,0
4.969070,101.644920,238.0,0
5.015510,110.948967,303.0,0
5.061950,115.135300,258.0,0
5.108390,113.044449,290.0,0
5.154830,97.427490,229.0,0
5.201270,94.822556,222.0,0
5.247710,82.317513,303.0,0
5.294150,81.098831,253.0,0
5.340590,62.416199,192.0,0
5.387029,63.360905,163.0,0
5.433469,83.464424,197.0,0
5.479909,93.734009,272.0,0
5.526349,102.921661,276.0,0
5.572789,112.108276,307.0,0
5.619229,103.533508,304.0,0
5.665669,104.698174,274.0,0
5.712109,103.548523,287.0,0
5.758549,93.749489,274.0,0
5.804989,84.558144,241.0,0
5.851429,100.090195,227.0,0
5.897868,68.609039,242.0,0
5.944308,89.553268,277.0,0
5.990748,83.274590,255.0,0
6.037188,83.206322,227.0,0
6.083628,71.025604,193.0,0
6.130068,97.619675,251.0,0
6.176508,108.417381,344.0,0
6.222948,113.422264,304.0,0
6.269388,107.748360,245.0,0
6.315828,136.724609,425.0,0
6.362268,118.400871,302.0,0
6.408707,125.139336,334.0,0
6.455147,132.786041,298.0,0
6.501587,113.313683,330.0,0
6.548027,100.544312,304.0,0
6.594467,82.771294,220.0,0
6.640907,71.011879,217.0,0
6.687347,69.787704,212.0,0
6.733787,85.880356,291.0,0
6.780227,86.536575,231.0,0
6.826667,98.437592,230.0,0
