t_seconds,rms_linear,peak_abs,clip_flag
0.046440,88.587730,214.0,0
0.092880,53.325268,135.0,0
0.139320,84.287857,260.0,0
0.185760,94.319328,257.0,0
0.232200,89.262291,246.0,0
0.278639,103.726425,282.0,0
0.325079,103.468582,284.0,0
0.371519,121.836487,250.0,0
0.417959,115.861038,308.0,0
0.464399,94.580238,244.0,0
0.510839,85.963737,289.0,0
0.557279,103.865639,271.0,0
0.603719,84.698654,231.0,0
0.650159,88.807266,288.0,0
0.696599,95.525291,245.0,0
0.743039,114.459145,302.0,0
0.789478,74.071404,210.0,0
0.835918,117.823181,288.0,0
0.882358,90.646477,273.0,0
0.928798,84.004219,204.0,0
0.975238,83.177856,204.0,0
1.021678,90.446228,254.0,0
1.068118,89.418022,237.0,0
1.114558,75.321060,241.0,0
1.160998,79.441696,221.0,0
1.207438,111.387421,316.0,0
1.253878,72.551170,167.0,0
1.300317,78.740486,244.0,0
1.346757,53.131001,188.0,0
1.393197,95.138580,255.0,0
1.439637,87.451996,224.0,0
1.486077,86.101761,222.0,0
1.532517,93.206276,242.0,0
1.578957,81.251938,217.0,0
1.625397,65.480492,245.0,0
1.671837,76.697289,232.0,0
1.718277,66.686272,170.0,0
1.764717,56.752121,145.0,0
1.811156,71.110092,251.0,0
1.857596,64.858070,175.0,0
1.904036,65.861557,190.0,0
1.950476,82.378189,222.0,0
1.996916,82.918434,214.0,0
2.043356,88.238533,236.0,0
2.089796,86.545662,247.0,0
2.136236,71.386177,185.0,0
2.182676,78.319374,203.0,0
2.229116,89.258804,244.0,0
2.275556,62.398830,173.0,0
2.321995,71.974747,209.0,0
2.368435,75.868935,244.0,0
2.414875,82.142761,224.0,0
2.461315,82.530472,270.0,0
2.507755,103.922882,227.0,0
2.554195,82.117538,204.0,0
2.600635,112.279221,263.0,0
2.647075,98.951889,245.0,0
2.693515,109.083984,279.0,0
2.739955,110.900879,292.0,0
2.786395,94.210136,244.0,0
2.832834,117.453445,361.0,0
2.879274,80.984344,218.0,0
2.925714,87.477722,262.0,0
2.972154,100.231430,250.0,0
3.018594,92.874435,278.0,0
3.065034,101.935600,348.0,0
3.111474,92.534874,249.0,0
3.157914,102.815132,291.0,0
3.204354,123.258766,365.0,0
3.250794,96.053612,249.0,0
3.297234,89.657089,240.0,0
3.343673,77.781479,218.0,0
3.390113,92.898132,297.0,0
3.436553,83.248535,237.0,0
3.482993,97.431084,314.0,0
3.529433,131.065872,389.0,0
3.575873,99.097748,269.0,0
3.622313,142.478027,357.0,0
3.668753,122.680122,262.0,0
3.715193,109.713478,249.0,0
3.761633,93.158615,260.0,0
3.808073,110.062134,333.0,0
3.854512,122.206032,380.0,0
3.900952,104.149101,269.0,0
3.947392,88.904541,262.0,0
3.993832,95.259178,296.0,0
4.040272,125.386803,326.0,0
4.086712,93.015045,247.0,0
4.133152,86.423943,233.0,0
4.179592,124.794067,388.0,0
4.226032,86.577782,284.0,0
4.272472,93.983818,278.0,0
4.318912,72.206261,245.0,0
4.365351,97.004700,289.0,0
4.411791,70.038857,207.0,0
4.458231,94.858665,257.0,0
4.504671,72.184639,211.0,0
4.551111,85.217987,225.0,0
4.597551,84.130470,209.0,0
4.643991,100.445587,244.0,0
4.690431,103.591423,284.0,0
4.736871,93.626411,281.0,0
4.783311,109.233101,308.0,0
4.829751,95.345833,271.0,0
4.876190,77.207893,251.0,0
4.922630,70.644630,212.0,0
4.969070,71.129669,199.0,0
5.015510,68.776794,198.0,0
5.061950,92.396805,284.0,0
5.108390,2030.675781,6238.0,0
5.154830,1883.494507,5778.0,0
5.201270,1780.862671,4144.0,0
5.247710,2049.709229,4426.0,0
5.294150,896.902771,2369.0,0
5.340590,157.386688,452.0,0
5.387029,115.547791,434.0,0
5.433469,115.275223,326.0,0
5.479909,123.056313,342.0,0
5.526349,82.879807,282.0,0
5.572789,95.395233,266.0,0
5.619229,142.838898,356.0,0
