t_seconds,rms_linear,peak_abs,clip_flag
0.046440,49.962109,127.0,0
0.092880,50.063354,133.0,0
0.139320,36.623474,108.0,0
0.185760,54.556244,167.0,0
0.232200,42.028072,108.0,0
0.278639,43.030293,103.0,0
0.325079,37.071491,108.0,0
0.371519,37.993427,106.0,0
0.417959,49.977509,151.0,0
0.464399,37.780888,113.0,0
0.510839,36.509785,93.0,0
0.557279,46.867817,127.0,0
0.603719,36.340786,102.0,0
0.650159,47.631432,141.0,0
0.696599,47.747314,150.0,0
0.743039,54.947285,129.0,0
0.789478,58.629246,175.0,0
0.835918,48.115688,143.0,0
0.882358,53.092480,158.0,0
0.928798,65.084106,154.0,0
0.975238,47.384800,125.0,0
1.021678,48.123692,115.0,0
1.068118,45.806168,119.0,0
1.114558,45.504677,120.0,0
1.160998,49.088341,116.0,0
1.207438,42.570713,116.0,0
1.253878,45.199314,111.0,0
1.300317,48.320389,185.0,0
1.346757,45.472332,141.0,0
1.393197,38.118801,100.0,0
1.439637,62.788319,152.0,0
1.486077,52.116425,124.0,0
1.532517,40.343552,125.0,0
1.578957,56.179089,133.0,0
1.625397,47.721371,125.0,0
1.671837,39.135071,109.0,0
1.718277,45.865818,113.0,0
1.764717,57.538357,153.0,0
1.811156,35.111568,111.0,0
1.857596,32.954544,102.0,0
1.904036,55.098660,145.0,0
1.950476,61.125984,164.0,0
1.996916,55.671066,162.0,0
2.043356,34.346706,93.0,0
2.089796,43.333660,131.0,0
2.136236,43.283485,129.0,0
2.182676,35.280300,120.0,0
2.229116,46.894901,127.0,0
2.275556,34.935524,104.0,0
2.321995,46.510727,131.0,0
2.368435,46.383068,135.0,0
2.414875,42.016953,124.0,0
2.461315,43.839138,112.0,0
2.507755,41.123665,119.0,0
2.554195,50.840782,151.0,0
2.600635,40.549377,118.0,0
2.647075,38.512486,145.0,0
2.693515,39.868416,133.0,0
2.739955,49.960678,140.0,0
2.786395,43.946182,126.0,0
2.832834,57.850182,167.0,0
2.879274,48.346428,123.0,0
2.925714,49.949104,114.0,0
2.972154,47.554405,122.0,0
3.018594,43.893627,151.0,0
3.065034,50.126690,143.0,0
3.111474,53.689793,161.0,0
3.157914,53.413475,148.0,0
3.204354,37.446842,132.0,0
3.250794,44.963013,141.0,0
3.297234,46.267529,142.0,0
3.343673,34.493679,102.0,0
3.390113,35.619053,91.0,0
3.436553,42.224392,116.0,0
3.482993,55.744297,170.0,0
3.529433,51.470070,140.0,0
3.575873,41.995506,126.0,0
3.622313,43.952194,131.0,0
3.668753,44.254539,114.0,0
3.715193,37.665585,109.0,0
3.761633,53.707397,173.0,0
3.808073,37.446693,108.0,0
3.854512,38.849331,114.0,0
3.900952,50.612247,127.0,0
3.947392,48.713409,182.0,0
3.993832,48.209270,148.0,0
4.040272,36.773384,110.0,0
4.086712,39.461723,110.0,0
4.133152,51.378284,141.0,0
4.179592,42.192829,125.0,0
4.226032,42.928318,111.0,0
4.272472,65.149315,156.0,0
4.318912,36.500771,123.0,0
4.365351,54.286560,146.0,0
4.411791,59.168896,152.0,0
4.458231,51.809120,154.0,0
4.504671,50.345501,139.0,0
4.551111,70.536179,471.0,0
4.597551,1737.848755,5133.0,0
4.643991,2169.738281,7321.0,0
4.690431,2379.057373,6176.0,0
4.736871,2638.627197,5176.0,0
4.783311,2079.666992,5030.0,0
4.829751,537.196472,1500.0,0
4.876190,119.039207,324.0,0
4.922630,112.034874,325.0,0
4.969070,64.677391,242.0,0
5.015510,65.598312,208.0,0
5.061950,85.190369,233.0,0
5.108390,66.830368,183.0,0
5.154830,59.103664,213.0,0
5.201270,66.104996,184.0,0
5.247710,57.506416,166.0,0
5.294150,56.454433,194.0,0
5.340590,45.901901,134.0,0
5.387029,74.677475,194.0,0
5.433469,64.445358,203.0,0
5.479909,46.959232,140.0,0
5.526349,62.778664,164.0,0
5.572789,57.609344,160.0,0
5.619229,44.262463,151.0,0
5.665669,49.058834,124.0,0
5.712109,53.913567,152.0,0
5.758549,48.478306,131.0,0
5.804989,59.142963,152.0,0
5.851429,44.176834,124.0,0
5.897868,52.530327,184.0,0
5.944308,47.874321,127.0,0
5.990748,46.723820,129.0,0
6.037188,52.592766,148.0,0
6.083628,42.538094,128.0,0
6.130068,34.204784,115.0,0
6.176508,50.424431,143.0,0
6.222948,48.723606,130.0,0
6.269388,51.062664,137.0,0
6.315828,41.503719,113.0,0
6.362268,38.056629,106.0,0
6.408707,48.343220,124.0,0
6.455147,44.307369,131.0,0
6.501587,41.073212,124.0,0
6.548027,45.345905,143.0,0
6.594467,54.044193,152.0,0
6.640907,47.954491,145.0,0
6.687347,45.967014,137.0,0
6.733787,44.054665,113.0,0
6.780227,53.106033,189.0,0
6.826667,49.730469,141.0,0
6.873107,43.170734,142.0,0
6.919546,58.186802,164.0,0
6.965986,43.163700,143.0,0
