t_seconds,rms_linear,peak_abs,clip_flag
0.046440,44.134571,130.0,0
0.092880,43.661266,143.0,0
0.139320,61.940559,174.0,0
0.185760,52.209713,142.0,0
0.232200,55.839767,171.0,0
0.278639,52.646317,164.0,0
0.325079,45.546234,156.0,0
0.371519,52.640362,133.0,0
0.417959,44.259796,154.0,0
0.464399,53.801537,146.0,0
0.510839,44.658077,139.0,0
0.557279,46.983177,132.0,0
0.603719,50.619637,136.0,0
0.650159,53.673225,134.0,0
0.696599,40.738464,158.0,0
0.743039,45.524906,126.0,0
0.789478,37.349812,118.0,0
0.835918,50.089767,155.0,0
0.882358,44.345901,130.0,0
0.928798,60.109997,144.0,0
0.975238,40.328232,103.0,0
1.021678,39.972340,152.0,0
1.068118,51.213856,161.0,0
1.114558,44.507748,132.0,0
1.160998,43.908257,157.0,0
1.207438,63.612900,159.0,0
1.253878,52.198658,137.0,0
1.300317,40.704464,139.0,0
1.346757,42.586483,131.0,0
1.393197,40.314137,108.0,0
1.439637,54.636303,154.0,0
1.486077,60.442844,198.0,0
1.532517,58.437496,146.0,0
1.578957,49.231873,130.0,0
1.625397,42.298141,121.0,0
1.671837,64.393425,172.0,0
1.718277,43.566708,148.0,0
1.764717,42.871071,155.0,0
1.811156,41.139370,123.0,0
1.857596,48.096218,140.0,0
1.904036,46.696453,181.0,0
1.950476,43.367577,135.0,0
1.996916,47.563885,136.0,0
2.043356,60.198940,159.0,0
2.089796,61.201721,196.0,0
2.136236,44.544258,132.0,0
2.182676,44.507725,139.0,0
2.229116,47.451485,126.0,0
2.275556,46.940807,152.0,0
2.321995,44.279018,140.0,0
2.368435,51.781570,137.0,0
2.414875,56.365707,145.0,0
2.461315,52.967072,128.0,0
2.507755,51.362053,163.0,0
2.554195,49.909695,134.0,0
2.600635,56.074528,192.0,0
2.647075,56.176918,174.0,0
2.693515,46.043499,136.0,0
2.739955,54.042431,164.0,0
2.786395,42.853512,135.0,0
2.832834,53.355503,146.0,0
2.879274,38.459248,131.0,0
2.925714,43.987968,132.0,0
2.972154,40.595032,123.0,0
3.018594,49.404884,147.0,0
3.065034,61.232487,182.0,0
3.111474,43.092255,146.0,0
3.157914,44.982533,138.0,0
3.204354,47.823322,165.0,0
3.250794,50.206261,157.0,0
3.297234,46.586575,121.0,0
3.343673,45.932907,132.0,0
3.390113,50.856369,160.0,0
3.436553,46.093655,145.0,0
3.482993,57.589787,162.0,0
3.529433,54.770390,163.0,0
