t_seconds,rms_linear,peak_abs,clip_flag
0.046440,58.779579,151.0,0
0.092880,65.026230,235.0,0
0.139320,52.014923,139.0,0
0.185760,70.149117,183.0,0
0.232200,60.573269,194.0,0
0.278639,50.742302,158.0,0
0.325079,72.540833,178.0,0
0.371519,54.461914,215.0,0
0.417959,57.126881,139.0,0
0.464399,57.756657,154.0,0
0.510839,59.092838,157.0,0
0.557279,47.207260,154.0,0
0.603719,53.819660,181.0,0
0.650159,50.485577,156.0,0
0.696599,50.724262,143.0,0
0.743039,49.117550,138.0,0
0.789478,49.867455,152.0,0
0.835918,39.990498,118.0,0
0.882358,47.643169,159.0,0
0.928798,43.907646,133.0,0
0.975238,64.138336,206.0,0
1.021678,59.728157,151.0,0
1.068118,58.077579,155.0,0
1.114558,48.437599,157.0,0
1.160998,51.728561,150.0,0
1.207438,51.639465,149.0,0
1.253878,47.990295,133.0,0
1.300317,45.172234,116.0,0
1.346757,43.436466,125.0,0
1.393197,42.660049,143.0,0
1.439637,63.677181,173.0,0
1.486077,54.218567,213.0,0
1.532517,55.383961,176.0,0
1.578957,52.399593,163.0,0
1.625397,52.216427,151.0,0
1.671837,58.909340,154.0,0
1.718277,45.880379,128.0,0
1.764717,54.327175,159.0,0
1.811156,47.347176,121.0,0
1.857596,44.733582,124.0,0
1.904036,39.951790,126.0,0
1.950476,66.432312,217.0,0
1.996916,106.451210,269.0,0
2.043356,61.621204,191.0,0
2.089796,52.351997,130.0,0
2.136236,57.001575,155.0,0
2.182676,50.691200,189.0,0
2.229116,49.165646,167.0,0
2.275556,48.815784,127.0,0
2.321995,65.741188,177.0,0
2.368435,57.626598,181.0,0
2.414875,53.755314,153.0,0
2.461315,72.349915,215.0,0
2.507755,65.327667,204.0,0
2.554195,56.487698,166.0,0
2.600635,62.521008,163.0,0
2.647075,62.418716,184.0,0
2.693515,48.026424,139.0,0
2.739955,56.050606,134.0,0
2.786395,53.749897,134.0,0
2.832834,59.117794,178.0,0
2.879274,57.394268,149.0,0
2.925714,54.736439,183.0,0
2.972154,64.678864,176.0,0
3.018594,51.547829,157.0,0
3.065034,378.993530,2235.0,0
3.111474,1552.490601,4661.0,0
3.157914,2156.187256,5828.0,0
3.204354,2364.415771,7454.0,0
3.250794,2186.287109,7098.0,0
3.297234,1791.356445,4937.0,0
3.343673,936.294067,3693.0,0
3.390113,571.768555,1451.0,0
3.436553,238.566574,1008.0,0
3.482993,187.814835,563.0,0
3.529433,171.459015,475.0,0
3.575873,240.548737,589.0,0
3.622313,234.826202,608.0,0
3.668753,171.602463,525.0,0
3.715193,126.384499,393.0,0
3.761633,103.121071,296.0,0
3.808073,95.118073,282.0,0
3.854512,107.868744,287.0,0
3.900952,99.023445,316.0,0
3.947392,94.134377,265.0,0
3.993832,103.456291,331.0,0
4.040272,88.897408,270.0,0
4.086712,97.790703,258.0,0
4.133152,87.013527,237.0,0
4.179592,82.565346,214.0,0
4.226032,86.096260,242.0,0
4.272472,98.296165,258.0,0
4.318912,76.656548,208.0,0
4.365351,89.006668,229.0,0
4.411791,94.914856,260.0,0
4.458231,79.047401,220.0,0
4.504671,93.902779,244.0,0
4.551111,127.113365,317.0,0
4.597551,79.297775,205.0,0
4.643991,85.350998,241.0,0
4.690431,81.409714,220.0,0
4.736871,76.403221,179.0,0
4.783311,67.682846,225.0,0
4.829751,59.915375,145.0,0
4.876190,82.825432,238.0,0
4.922630,72.843620,210.0,0
4.969070,72.588982,175.0,0
5.015510,77.629578,219.0,0
5.061950,80.923515,212.0,0
5.108390,89.268791,206.0,0
5.154830,63.195534,182.0,0
5.201270,80.992905,225.0,0
5.247710,67.949211,205.0,0
5.294150,68.658928,234.0,0
5.340590,57.752743,165.0,0
5.387029,61.073734,180.0,0
5.433469,61.321312,178.0,0
5.479909,65.267746,177.0,0
5.526349,67.834984,238.0,0
5.572789,64.862869,159.0,0
5.619229,70.170601,190.0,0
5.665669,69.929916,182.0,0
5.712109,53.572731,134.0,0
5.758549,49.612804,123.0,0
5.804989,51.957024,135.0,0
5.851429,65.223915,183.0,0
5.897868,77.922676,185.0,0
5.944308,72.641434,175.0,0
5.990748,61.434738,198.0,0
6.037188,80.204590,185.0,0
6.083628,59.740799,192.0,0
6.130068,62.484272,192.0,0
6.176508,76.418617,343.0,0
6.222948,127.179459,511.0,0
6.269388,136.753571,468.0,0
