t_seconds,rms_linear,peak_abs,clip_flag
0.046440,46.579117,135.0,0
0.092880,50.058510,160.0,0
0.139320,41.098194,112.0,0
0.185760,43.379913,106.0,0
0.232200,47.272530,114.0,0
0.278639,58.804531,173.0,0
0.325079,51.307213,143.0,0
0.371519,44.059402,105.0,0
0.417959,51.322884,128.0,0
0.464399,43.129974,138.0,0
0.510839,49.545799,159.0,0
0.557279,41.271183,123.0,0
0.603719,37.780170,116.0,0
0.650159,44.370209,116.0,0
0.696599,45.119144,117.0,0
0.743039,42.763725,110.0,0
0.789478,42.564724,125.0,0
0.835918,49.357037,153.0,0
0.882358,48.257469,119.0,0
0.928798,45.175159,122.0,0
0.975238,44.003834,124.0,0
1.021678,56.792480,150.0,0
1.068118,44.896442,129.0,0
1.114558,42.873890,109.0,0
1.160998,60.088501,158.0,0
1.207438,46.902061,109.0,0
1.253878,44.437866,132.0,0
1.300317,49.546257,120.0,0
1.346757,56.006989,186.0,0
1.393197,43.107941,122.0,0
1.439637,45.208576,122.0,0
1.486077,47.776585,132.0,0
1.532517,35.968674,116.0,0
1.578957,48.626495,142.0,0
1.625397,36.649757,100.0,0
1.671837,36.559467,129.0,0
1.718277,29.125519,89.0,0
1.764717,36.011913,106.0,0
1.811156,30.105438,90.0,0
1.857596,43.625957,131.0,0
1.904036,41.971035,158.0,0
1.950476,40.601879,111.0,0
1.996916,32.201103,95.0,0
2.043356,44.601479,137.0,0
2.089796,39.588398,123.0,0
2.136236,43.708687,108.0,0
2.182676,32.856274,97.0,0
2.229116,38.696095,119.0,0
2.275556,50.066341,149.0,0
2.321995,38.452297,157.0,0
2.368435,44.478882,113.0,0
2.414875,41.876690,138.0,0
2.461315,42.449585,123.0,0
2.507755,46.017597,140.0,0
2.554195,36.832840,107.0,0
2.600635,41.556709,112.0,0
2.647075,43.386902,148.0,0
2.693515,31.656103,90.0,0
2.739955,30.005224,97.0,0
2.786395,39.087868,114.0,0
2.832834,34.207153,108.0,0
2.879274,34.698429,107.0,0
2.925714,38.319199,120.0,0
2.972154,30.874004,101.0,0
3.018594,47.844204,118.0,0
3.065034,41.181774,108.0,0
3.111474,31.534727,85.0,0
3.157914,49.606495,168.0,0
3.204354,51.006142,167.0,0
3.250794,46.734852,126.0,0
3.297234,37.362854,108.0,0
3.343673,45.402866,115.0,0
3.390113,40.591797,133.0,0
3.436553,41.882671,131.0,0
3.482993,37.672279,116.0,0
3.529433,40.221905,128.0,0
3.575873,33.697739,96.0,0
3.622313,43.185814,109.0,0
3.668753,34.381329,99.0,0
3.715193,41.993855,112.0,0
3.761633,41.619717,126.0,0
3.808073,44.874283,129.0,0
3.854512,52.998638,146.0,0
3.900952,38.674572,122.0,0
3.947392,43.238129,138.0,0
3.993832,38.567863,115.0,0
4.040272,43.289886,126.0,0
4.086712,41.510506,127.0,0
4.133152,44.417515,127.0,0
4.179592,39.045971,126.0,0
4.226032,41.615681,125.0,0
4.272472,47.129265,128.0,0
4.318912,1968.487793,5033.0,0
4.365351,2674.690674,8536.0,0
4.411791,3247.293701,8746.0,0
4.458231,2585.689209,7268.0,0
4.504671,1671.038452,5133.0,0
4.551111,792.367554,2320.0,0
4.597551,433.640106,1321.0,0
4.643991,153.699905,476.0,0
4.690431,110.963516,280.0,0
4.736871,101.716103,352.0,0
4.783311,106.988235,327.0,0
4.829751,106.169220,359.0,0
4.876190,78.774292,228.0,0
4.922630,63.312401,211.0,0
4.969070,55.541065,174.0,0
5.015510,54.856449,196.0,0
5.061950,52.476498,154.0,0
5.108390,42.788074,138.0,0
5.154830,62.703831,161.0,0
5.201270,36.397396,114.0,0
5.247710,41.817345,141.0,0
5.294150,43.781212,121.0,0
5.340590,48.472549,157.0,0
5.387029,51.866226,147.0,0
5.433469,60.257763,156.0,0
5.479909,55.510155,167.0,0
5.526349,49.202641,133.0,0
5.572789,44.598301,148.0,0
5.619229,40.674332,113.0,0
5.665669,48.570320,138.0,0
5.712109,37.564846,112.0,0
5.758549,62.221752,147.0,0
5.804989,46.480183,143.0,0
5.851429,41.071209,158.0,0
5.897868,47.331329,150.0,0
5.944308,50.460831,154.0,0
5.990748,46.365818,143.0,0
6.037188,39.284389,110.0,0
6.083628,39.661674,125.0,0
6.130068,45.935658,161.0,0
6.176508,48.748497,163.0,0
6.222948,45.911888,131.0,0
6.269388,40.462650,136.0,0
6.315828,41.798847,125.0,0
6.362268,47.901489,138.0,0
6.408707,44.857388,120.0,0
6.455147,49.543674,118.0,0
6.501587,41.824364,131.0,0
6.548027,41.924686,105.0,0
6.594467,34.076488,105.0,0
6.640907,48.932301,116.0,0
6.687347,44.692986,127.0,0
6.733787,42.297440,133.0,0
6.780227,51.497318,171.0,0
