t_seconds,rms_linear,peak_abs,clip_flag
0.023220,66.674599,183.0,0
0.046440,57.361244,143.0,0
0.069660,76.978561,194.0,0
0.092880,72.311760,169.0,0
0.116100,69.905159,155.0,0
0.139320,73.041573,167.0,0
0.162540,69.065277,164.0,0
0.185760,52.356770,150.0,0
0.208980,85.432922,192.0,0
0.232200,50.640335,119.0,0
0.255420,65.477760,182.0,0
0.278639,72.054955,192.0,0
0.301859,76.653107,219.0,0
0.325079,61.154293,159.0,0
0.348299,91.459351,207.0,0
0.371519,71.699257,178.0,0
0.394739,75.411324,206.0,0
0.417959,106.321159,225.0,0
0.441179,98.977676,266.0,0
0.464399,121.369781,319.0,0
0.487619,112.786407,300.0,0
0.510839,130.836563,287.0,0
0.534059,126.393448,256.0,0
0.557279,117.806236,255.0,0
0.580499,120.230164,261.0,0
0.603719,126.858528,277.0,0
0.626939,121.667000,299.0,0
0.650159,102.545258,216.0,0
0.673379,116.324715,300.0,0
0.696599,92.060440,196.0,0
0.719819,104.163589,259.0,0
0.743039,72.863449,192.0,0
0.766259,86.381775,210.0,0
0.789478,84.185265,199.0,0
0.812698,89.325806,213.0,0
0.835918,78.934959,174.0,0
0.859138,95.490036,246.0,0
0.882358,104.329041,247.0,0
0.905578,81.578964,206.0,0
0.928798,63.497192,169.0,0
0.952018,82.963074,223.0,0
0.975238,67.562523,163.0,0
0.998458,56.812149,149.0,0
1.021678,46.734280,125.0,0
1.044898,67.539352,155.0,0
1.068118,55.265774,172.0,0
1.091338,53.474339,159.0,0
1.114558,69.533409,171.0,0
1.137778,59.978546,176.0,0
1.160998,91.471085,237.0,0
1.184218,55.105270,172.0,0
1.207438,71.027794,164.0,0
1.230658,67.271866,161.0,0
1.253878,61.669949,152.0,0
1.277098,52.188305,135.0,0
1.300317,49.839790,139.0,0
1.323537,64.623772,158.0,0
1.346757,70.103195,168.0,0
1.369977,73.321579,219.0,0
1.393197,72.227684,189.0,0
1.416417,64.123383,140.0,0
1.439637,89.709846,226.0,0
1.462857,63.938255,198.0,0
1.486077,95.509697,282.0,0
1.509297,91.949051,242.0,0
1.532517,75.389153,204.0,0
1.555737,69.700195,205.0,0
