t_seconds,rms_linear,peak_abs,clip_flag
0.046440,35.458294,92.0,0
0.092880,45.060699,123.0,0
0.139320,54.186611,133.0,0
0.185760,57.296993,149.0,0
0.232200,42.149727,118.0,0
0.278639,50.138329,144.0,0
0.325079,51.231358,142.0,0
0.371519,54.101414,150.0,0
0.417959,45.837566,116.0,0
0.464399,61.159737,150.0,0
0.510839,54.691147,188.0,0
0.557279,48.568066,131.0,0
0.603719,40.449074,129.0,0
0.650159,50.403660,158.0,0
0.696599,39.487366,114.0,0
0.743039,34.261768,95.0,0
0.789478,33.309971,120.0,0
0.835918,46.997471,133.0,0
0.882358,57.069202,169.0,0
0.928798,49.164852,114.0,0
0.975238,53.162281,146.0,0
1.021678,65.779045,156.0,0
1.068118,57.006706,153.0,0
1.114558,54.240437,129.0,0
1.160998,76.259384,172.0,0
1.207438,64.087082,147.0,0
1.253878,60.156338,147.0,0
1.300317,59.202469,144.0,0
1.346757,58.445538,154.0,0
1.393197,53.976818,112.0,0
1.439637,45.314247,122.0,0
1.486077,41.346733,108.0,0
1.532517,41.635914,110.0,0
1.578957,37.123173,140.0,0
1.625397,42.980595,120.0,0
1.671837,39.177120,102.0,0
1.718277,45.258751,126.0,0
1.764717,53.856491,144.0,0
1.811156,41.887531,114.0,0
1.857596,57.329582,129.0,0
1.904036,60.963093,152.0,0
1.950476,58.864967,152.0,0
1.996916,61.313961,176.0,0
2.043356,57.601330,179.0,0
2.089796,63.616043,173.0,0
2.136236,62.229977,137.0,0
2.182676,65.948547,162.0,0
2.229116,65.468414,161.0,0
2.275556,63.001892,185.0,0
2.321995,54.812508,137.0,0
2.368435,59.682312,189.0,0
2.414875,63.505608,178.0,0
2.461315,56.821369,152.0,0
2.507755,53.574879,132.0,0
2.554195,54.560566,158.0,0
2.600635,51.432499,123.0,0
2.647075,48.847435,117.0,0
2.693515,53.773170,142.0,0
2.739955,53.033607,125.0,0
2.786395,42.380852,126.0,0
2.832834,40.550762,128.0,0
2.879274,43.572872,121.0,0
2.925714,48.738953,119.0,0
2.972154,888.893616,5699.0,0
3.018594,5212.079590,22001.0,0
3.065034,7982.204590,31683.0,0
3.111474,8783.232422,31186.0,0
3.157914,8194.684570,27439.0,0
3.204354,5922.420410,25245.0,0
3.250794,944.750122,4028.0,0
3.297234,378.617432,1215.0,0
3.343673,290.302734,769.0,0
3.390113,179.085251,485.0,0
3.436553,170.326279,463.0,0
3.482993,153.846756,431.0,0
3.529433,179.687012,479.0,0
3.575873,173.739822,457.0,0
3.622313,143.304123,404.0,0
3.668753,134.690674,388.0,0
3.715193,82.132637,281.0,0
3.761633,93.844040,279.0,0
3.808073,112.047813,312.0,0
3.854512,85.281654,287.0,0
3.900952,65.546608,201.0,0
3.947392,66.064819,209.0,0
3.993832,58.392445,174.0,0
4.040272,76.160889,256.0,0
4.086712,67.941040,207.0,0
4.133152,63.936668,206.0,0
4.179592,69.504036,226.0,0
4.226032,52.992741,169.0,0
4.272472,60.198944,185.0,0
4.318912,48.696735,128.0,0
4.365351,39.750748,131.0,0
4.411791,48.670242,136.0,0
4.458231,46.848499,138.0,0
4.504671,45.695328,141.0,0
4.551111,40.917606,121.0,0
4.597551,44.307480,127.0,0
4.643991,47.229652,132.0,0
4.690431,52.066608,142.0,0
4.736871,44.058762,121.0,0
4.783311,41.363361,134.0,0
4.829751,51.577579,161.0,0
4.876190,51.121098,159.0,0
4.922630,44.840740,112.0,0
4.969070,51.266533,168.0,0
5.015510,49.663143,112.0,0
5.061950,44.540756,133.0,0
5.108390,42.192715,106.0,0
5.154830,44.886902,119.0,0
5.201270,40.286945,126.0,0
5.247710,42.287895,133.0,0
5.294150,38.934834,112.0,0
5.340590,43.212967,106.0,0
5.387029,41.824677,115.0,0
5.433469,55.113312,144.0,0
5.479909,50.739361,143.0,0
5.526349,51.865158,128.0,0
5.572789,47.226814,132.0,0
5.619229,58.124146,151.0,0
5.665669,53.947571,143.0,0
5.712109,70.551796,169.0,0
5.758549,64.474724,156.0,0
5.804989,59.868408,174.0,0
5.851429,65.465340,205.0,0
5.897868,59.862740,135.0,0
5.944308,63.026947,157.0,0
5.990748,57.491779,142.0,0
6.037188,47.212658,127.0,0
6.083628,51.371246,145.0,0
6.130068,54.596649,138.0,0
6.176508,54.535011,148.0,0
6.222948,55.360233,141.0,0
6.269388,55.805862,153.0,0
6.315828,55.959900,159.0,0
6.362268,60.034241,172.0,0
6.408707,42.486618,103.0,0
6.455147,49.975002,150.0,0
6.501587,65.327110,146.0,0
6.548027,46.270535,118.0,0
6.594467,59.630135,175.0,0
6.640907,60.252754,174.0,0
6.687347,43.112381,125.0,0
6.733787,47.536022,126.0,0
6.780227,45.019840,137.0,0
6.826667,59.365734,147.0,0
6.873107,57.178318,143.0,0
6.919546,45.737595,130.0,0
6.965986,48.987553,118.0,0
7.012426,53.481991,155.0,0
7.058866,43.652672,96.0,0
7.105306,49.903473,152.0,0
7.151746,60.943180,135.0,0
7.198186,39.169785,111.0,0
7.244626,48.110947,116.0,0
7.291066,44.300266,129.0,0
7.337506,54.102852,143.0,0
7.383946,48.234043,123.0,0
7.430385,43.120098,113.0,0
7.476825,61.254620,155.0,0
7.523265,38.365208,104.0,0
7.569705,38.949280,96.0,0
7.616145,42.329323,118.0,0
7.662585,43.495388,142.0,0
7.709025,41.549206,138.0,0
7.755465,43.920521,113.0,0
