t_seconds,rms_linear,peak_abs,clip_flag
0.046440,46.931553,124.0,0
0.092880,61.197739,159.0,0
0.139320,53.870750,162.0,0
0.185760,64.802452,158.0,0
0.232200,52.030067,126.0,0
0.278639,49.473873,117.0,0
0.325079,56.279106,152.0,0
0.371519,42.912060,112.0,0
0.417959,54.625198,135.0,0
0.464399,45.176147,124.0,0
0.510839,53.676785,131.0,0
0.557279,46.742851,113.0,0
0.603719,52.970196,121.0,0
0.650159,57.098480,125.0,0
0.696599,51.183464,123.0,0
0.743039,55.554180,156.0,0
0.789478,47.126789,144.0,0
0.835918,58.163349,159.0,0
0.882358,49.664238,136.0,0
0.928798,58.475121,133.0,0
0.975238,51.144001,133.0,0
1.021678,54.659702,134.0,0
1.068118,54.180653,129.0,0
1.114558,48.531773,141.0,0
1.160998,46.010967,147.0,0
1.207438,55.930756,168.0,0
1.253878,52.713856,159.0,0
1.300317,43.977287,128.0,0
1.346757,47.711479,126.0,0
1.393197,45.216759,97.0,0
1.439637,42.775806,128.0,0
1.486077,50.160320,133.0,0
1.532517,47.019180,109.0,0
1.578957,47.765438,165.0,0
1.625397,64.057289,161.0,0
1.671837,51.332207,140.0,0
1.718277,57.511398,143.0,0
1.764717,56.057987,144.0,0
1.811156,52.738987,132.0,0
1.857596,58.950783,172.0,0
1.904036,81.274269,203.0,0
1.950476,60.288631,185.0,0
1.996916,46.811310,142.0,0
2.043356,71.593300,176.0,0
2.089796,42.521835,174.0,0
2.136236,69.202049,149.0,0
2.182676,69.485764,170.0,0
2.229116,57.789909,151.0,0
2.275556,65.872627,168.0,0
2.321995,64.685135,154.0,0
2.368435,59.369942,139.0,0
2.414875,54.341465,142.0,0
2.461315,62.679291,176.0,0
2.507755,51.496803,123.0,0
2.554195,50.831142,149.0,0
2.600635,39.389854,100.0,0
2.647075,49.961857,155.0,0
2.693515,45.683487,139.0,0
2.739955,42.426586,174.0,0
2.786395,50.765770,138.0,0
2.832834,63.586212,145.0,0
2.879274,58.882141,148.0,0
2.925714,54.454918,127.0,0
2.972154,49.246372,144.0,0
3.018594,57.659534,164.0,0
3.065034,53.747616,129.0,0
3.111474,63.719025,144.0,0
3.157914,77.239273,186.0,0
3.204354,82.452118,274.0,0
3.250794,58.246426,143.0,0
3.297234,71.114693,168.0,0
3.343673,70.372772,160.0,0
3.390113,56.019993,142.0,0
3.436553,52.199455,128.0,0
3.482993,49.477661,128.0,0
3.529433,49.702461,127.0,0
3.575873,53.685555,151.0,0
3.622313,51.608654,156.0,0
3.668753,52.418404,133.0,0
3.715193,48.830414,127.0,0
3.761633,50.843967,142.0,0
3.808073,55.404854,142.0,0
3.854512,57.525059,119.0,0
3.900952,54.639519,135.0,0
3.947392,44.143288,121.0,0
3.993832,62.958481,158.0,0
4.040272,67.524239,137.0,0
4.086712,61.596958,162.0,0
4.133152,48.668869,134.0,0
4.179592,52.863689,141.0,0
4.226032,61.212135,150.0,0
4.272472,52.238819,145.0,0
4.318912,59.865837,169.0,0
4.365351,58.255241,139.0,0
4.411791,51.398201,143.0,0
4.458231,48.860123,114.0,0
4.504671,50.345829,151.0,0
4.551111,48.091019,126.0,0
4.597551,58.215012,130.0,0
4.643991,52.769867,151.0,0
4.690431,64.985970,138.0,0
4.736871,54.181019,123.0,0
4.783311,60.879139,150.0,0
4.829751,49.851433,132.0,0
4.876190,58.736675,167.0,0
4.922630,56.507385,173.0,0
4.969070,42.527554,122.0,0
5.015510,54.706284,156.0,0
5.061950,48.010063,108.0,0
5.108390,64.517433,154.0,0
5.154830,1698.930542,5299.0,0
5.201270,2733.222900,10567.0,0
5.247710,2906.342285,8376.0,0
5.294150,2833.565918,7959.0,0
5.340590,2319.267334,6972.0,0
5.387029,1063.658691,3215.0,0
5.433469,512.158386,1586.0,0
5.479909,171.708542,601.0,0
5.526349,132.575897,393.0,0
5.572789,117.592804,358.0,0
5.619229,101.501099,327.0,0
5.665669,132.344772,431.0,0
5.712109,119.410187,354.0,0
5.758549,106.569893,320.0,0
5.804989,98.954384,317.0,0
5.851429,70.445763,228.0,0
5.897868,65.656502,188.0,0
5.944308,62.520363,192.0,0
5.990748,53.329235,132.0,0
6.037188,64.351219,211.0,0
6.083628,56.803028,197.0,0
6.130068,47.785496,138.0,0
6.176508,61.304943,150.0,0
6.222948,66.339653,168.0,0
6.269388,54.126442,170.0,0
6.315828,62.756710,152.0,0
6.362268,56.636906,170.0,0
6.408707,64.314476,161.0,0
6.455147,57.105385,142.0,0
6.501587,54.636852,138.0,0
6.548027,49.556873,135.0,0
6.594467,74.356918,204.0,0
6.640907,61.383007,149.0,0
6.687347,58.610382,172.0,0
6.733787,64.369972,207.0,0
6.780227,58.485168,159.0,0
6.826667,51.686844,153.0,0
6.873107,69.136894,158.0,0
6.919546,45.941578,112.0,0
6.965986,64.023056,146.0,0
7.012426,48.792374,146.0,0
7.058866,62.195175,163.0,0
7.105306,52.660904,152.0,0
7.151746,58.339081,148.0,0
7.198186,60.865417,177.0,0
7.244626,55.343746,133.0,0
7.291066,64.821762,153.0,0
7.337506,66.023926,154.0,0
7.383946,63.565853,146.0,0
7.430385,71.567734,287.0,0
7.476825,100.324913,326.0,0
7.523265,170.652374,451.0,0
7.569705,81.443069,301.0,0
7.616145,62.119907,188.0,0
7.662585,211.387970,544.0,0
7.709025,120.478600,332.0,0
7.755465,58.950256,164.0,0
7.801905,63.583607,226.0,0
7.848345,191.208710,518.0,0
7.894785,160.946091,443.0,0
7.941224,184.388763,381.0,0
7.987664,95.459869,358.0,0
8.034104,122.604446,282.0,0
8.080544,101.519882,274.0,0
8.126984,90.098473,334.0,0
8.173424,105.967804,323.0,0
8.219864,108.072212,304.0,0
8.266304,124.304420,440.0,0
8.312744,147.210648,483.0,0
8.359184,99.983101,266.0,0
8.405624,66.412125,238.0,0
8.452063,64.273521,179.0,0
8.498503,63.922764,150.0,0
8.544943,54.598026,132.0,0
8.591383,53.312439,153.0,0
8.637823,55.183266,149.0,0
8.684263,64.900696,174.0,0
8.730703,46.568172,110.0,0
8.777143,62.513313,154.0,0
8.823583,52.942791,137.0,0
8.870023,52.510708,157.0,0
8.916463,53.362743,139.0,0
8.962902,51.601212,126.0,0
9.009342,47.560642,110.0,0
9.055782,89.261536,245.0,0
9.102222,54.455002,171.0,0
9.148662,45.918480,126.0,0
9.195102,60.432789,175.0,0
9.241542,52.270344,143.0,0
9.287982,62.672985,154.0,0
9.334422,67.134804,166.0,0
9.380862,80.841255,178.0,0
9.427302,49.421059,148.0,0
9.473741,64.381966,153.0,0
